datetime,tot_orders,tot_gross_revenue,tot_cogs,tot_order_marketplace,tot_order_website,tot_order_b2b,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,weather_description,cloud_cover,sunshine_duration,is_weekend,day_of_week,tot_sessions,product_margin,AOV,cvr,revenue_per_session,lag_weekday_tot_orders,lag_weekday_tot_gross_revenue,lag_weekday_AOV,lag_weekday_cvr,lag_weekday_revenue_per_session,lag_1_tot_orders,lag_1_tot_gross_revenue,lag_1_AOV,lag_1_cvr,lag_1_revenue_per_session,lag_24_tot_orders,lag_24_tot_gross_revenue,lag_24_AOV,lag_24_cvr,lag_24_revenue_per_session,lag_168_tot_orders,lag_168_tot_gross_revenue,lag_168_AOV,lag_168_cvr,lag_168_revenue_per_session,lag_720_tot_orders,lag_720_tot_gross_revenue,lag_720_AOV,lag_720_cvr,lag_720_revenue_per_session
2023-01-02 12:00:00+00:00,2,74.62,18.12,0,2,0,11.398,60.604828,0.0,0.0,0.0,2.0,partly_cloudy,64.2,3600.0,False,Monday,153,74.37716965960868,37.31,0.013071895424836602,0.48771241830065365,0.0,0.0,0.0,0.0,0.0,1.0,41.9,41.9,0.006622516556291391,0.2774834437086093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 13:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.62,37.31,0.013071895424836602,0.48771241830065365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 14:00:00+00:00,2,94.49,14.65,0,2,0,12.297999,53.98584,0.0,0.0,0.0,2.0,partly_cloudy,74.1,3600.0,False,Monday,117,94.33495713832151,47.245,0.017094017094017096,0.8076068376068376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 15:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.49,47.245,0.017094017094017096,0.8076068376068376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 16:00:00+00:00,2,64.94,15.07,0,2,0,11.797999,60.489586,0.0,0.0,0.0,2.0,partly_cloudy,74.700005,3600.0,False,Monday,125,64.70793963658761,32.47,0.016,0.51952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 17:00:00+00:00,3,267.48,69.72,0,3,0,10.648,66.198,0.0,0.0,0.0,2.0,partly_cloudy,52.5,1724.0007,False,Monday,84,267.2193449977569,89.16000000000001,0.03571428571428571,3.1842857142857146,0.0,0.0,0.0,0.0,0.0,2.0,64.94,32.47,0.016,0.51952,1.0,30.24,30.24,0.015151515151515152,0.45818181818181813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 18:00:00+00:00,1,15.12,2.67,0,1,0,9.348,65.449265,0.0,0.0,0.0,3.0,cloudy,100.0,0.0,False,Monday,106,14.943412698412697,15.12,0.009433962264150943,0.14264150943396225,0.0,0.0,0.0,0.0,0.0,3.0,267.48,89.16000000000001,0.03571428571428571,3.1842857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 19:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.12,15.12,0.009433962264150943,0.14264150943396225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 20:00:00+00:00,2,358.17,87.64,0,2,0,8.348,75.124825,0.2,0.2,0.0,51.0,light_drizzle,91.200005,0.0,False,Monday,41,357.9253117234833,179.085,0.04878048780487805,8.735853658536586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.04,26.04,0.017857142857142856,0.46499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 21:00:00+00:00,4,216.82,54.68,0,4,0,7.6480002,82.73533,0.2,0.2,0.0,51.0,light_drizzle,100.0,0.0,False,Monday,45,216.56780924268978,54.205,0.08888888888888889,4.818222222222222,0.0,0.0,0.0,0.0,0.0,2.0,358.17,179.085,0.04878048780487805,8.735853658536586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 22:00:00+00:00,1,47.88,8.58,0,1,0,7.198,91.13299,0.3,0.3,0.0,51.0,light_drizzle,100.0,0.0,False,Monday,46,47.700802005012534,47.88,0.021739130434782608,1.0408695652173914,0.0,0.0,0.0,0.0,0.0,4.0,216.82,54.205,0.08888888888888889,4.818222222222222,2.0,121.5,60.75,0.027777777777777776,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 23:00:00+00:00,1,88.9,27.89,0,1,0,6.998,93.99885,0.5,0.5,0.0,53.0,drizzle,100.0,0.0,False,Monday,129,88.58627671541058,88.9,0.007751937984496124,0.6891472868217055,0.0,0.0,0.0,0.0,0.0,1.0,47.88,47.88,0.021739130434782608,1.0408695652173914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00+00:00,1,81.8,43.94,0,1,0,6.798,94.96854,0.8,0.8,0.0,53.0,drizzle,100.0,0.0,False,Tuesday,193,81.26283618581907,81.8,0.0051813471502590676,0.4238341968911917,0.0,0.0,0.0,0.0,0.0,1.0,88.9,88.9,0.007751937984496124,0.6891472868217055,1.0,171.36,171.36,0.03333333333333333,5.712000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 01:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.8,81.8,0.0051813471502590676,0.4238341968911917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 02:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.9,50.9,0.017543859649122806,0.8929824561403509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 03:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.12,15.12,0.012345679012345678,0.18666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
