customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
12344,1,1.0,48.85,5,4,2,542,Potential Loyalist
12346,34,1.0,38.05,5,4,2,542,Potential Loyalist
12347,108,1.0,215.8,3,4,5,345,Others
12348,75,1.0,48.34,4,4,2,442,Potential Loyalist
12350,200,1.0,28.45,2,4,2,242,At Risk
12354,41,1.0,29.1,4,4,2,442,Potential Loyalist
12356,185,1.0,45.64,2,4,2,242,At Risk
12358,24,1.0,23.72,5,4,1,541,Potential Loyalist
12360,25,1.0,59.8,5,4,3,543,Loyal Customers
12361,172,1.0,91.0,2,4,4,244,At Risk
12362,61,1.0,46.33,4,4,2,442,Potential Loyalist
12366,61,1.5,65.66,4,5,3,453,Loyal Customers
12367,46,1.0,38.0,4,4,2,442,Potential Loyalist
12368,85,1.0,314.21,4,4,5,445,Loyal Customers
12369,189,1.0,35.0,2,4,2,242,At Risk
12372,93,1.0,88.0,3,4,3,343,Others
12373,174,1.0,20.0,2,4,1,241,At Risk
12375,25,1.0,199.51,5,4,5,545,Champions
12376,281,1.0,78.0,1,4,3,143,At Risk
12377,123,1.0,30.0,3,4,2,342,Frequent Low Spenders
12378,340,1.0,217.29,1,4,5,145,At Risk
12381,154,1.0,193.01,2,4,5,245,At Risk
12382,55,1.0,55.6,4,4,3,443,Loyal Customers
12384,21,1.0,40.0,5,4,2,542,Potential Loyalist
12385,27,1.0,200.0,5,4,5,545,Champions
12392,61,1.0,135.29000000000002,4,4,4,444,Loyal Customers
12395,115,1.0,2189.26,3,4,5,345,Others
12396,18,1.0,20.0,5,4,1,541,Potential Loyalist
12400,363,1.0,52.7,1,4,3,143,At Risk
12401,121,1.0,49.9,3,4,2,342,Frequent Low Spenders
12403,225,1.0,31.0,2,4,2,242,At Risk
12406,33,1.0,1649.5,5,4,5,545,Champions
12408,87,1.0,62.79,3,4,3,343,Others
12414,116,1.0,28.9,3,4,2,342,Frequent Low Spenders
12416,42,1.0,75.0,4,4,3,443,Loyal Customers
12418,340,1.0,0.0,1,4,1,141,At Risk
12419,99,1.0,103.2,3,4,4,344,Others
12423,2,1.0,67.93,5,4,3,543,Loyal Customers
12425,75,1.0,29.9,4,4,2,442,Potential Loyalist
12429,105,1.0,178.33,3,4,4,344,Others
12430,86,1.0,120.55,4,4,4,444,Loyal Customers
12432,122,1.0,30.68,3,4,2,342,Frequent Low Spenders
12434,106,1.0,30.0,3,4,2,342,Frequent Low Spenders
12435,185,1.0,47.59,2,4,2,242,At Risk
12439,229,1.0,177.36,2,4,4,244,At Risk
12440,103,1.0,319.65999999999997,3,4,5,345,Others
12445,334,1.0,359.5,1,4,5,145,At Risk
12446,69,1.0,88.72,4,4,3,443,Loyal Customers
12447,185,1.0,25.0,2,4,1,241,At Risk
12448,205,1.0,38.0,2,4,2,242,At Risk
12449,215,1.0,153.8,2,4,4,244,At Risk
12450,76,1.0,186.91000000000003,4,4,5,445,Loyal Customers
12452,3,1.0,64.33,5,4,3,543,Loyal Customers
12462,119,1.0,26.8,3,4,1,341,Frequent Low Spenders
12464,120,1.0,41.93,3,4,2,342,Frequent Low Spenders
12465,33,1.0,451.71,5,4,5,545,Champions
12466,10,1.0,70.0,5,4,3,543,Loyal Customers
12467,256,1.0,121.1,1,4,4,144,At Risk
12468,36,1.0,39.96,5,4,2,542,Potential Loyalist
